0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/flex-slider.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/nicesellect.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/scrollup.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/onepage-nav.min.js HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/easing.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/js/active.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/logo2.png HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/logo.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/payments.png HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/fonts/themify.woff HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:18:31 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:19 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/index.jsp HTTP/1.1" 200 35027
